àbac	ˈaβək
abadessa	əβəˈðɛsə
abadia	əβəˈðiə
abadies	əβəˈðiəs
abaixa	əˈβaʃə
a_baix	əˈβaʃ
abaixa-ho	əˈβaʃəw
abaixant	əβəˈʃan
abaixarà	əβəʃəˈɾa
abaixar	əβəˈʃa
abaixaràs	əβəʃəˈɾas
abaixaré	əβəʃəˈɾe
abaixaria	əβəʃəˈɾiə
abaixar-lo	əβəˈʃarlu
abaixat	əβəˈʃat
abaixen	əˈβaʃən
abaixi	əˈβaʃi
abanderades	əβəndəˈɾaðəs
abanderar	əβəndəˈɾa
abanderat	əβəndəˈɾat
abanderats	əβəndəˈɾaʦ
abandó	əβənˈdo
abandona	əβənˈdonə
abandonà	əβənduˈna
abandonada	əβənduˈnaðə
abandonades	əβənduˈnaðəs
abandonament	əβəndunəˈmen
abandonaments	əβəndunəˈmens
abandonant	əβənduˈnan
abandonarà	əβəndunəˈɾa
abandonar	əβənduˈna
abandonaran	əβəndunəˈɾan
abandonaria	əβəndunəˈɾiə
abandonar-la	əβənduˈnarlə
abandonar-lo	əβənduˈnarlu
abandonat	əβənduˈnat
abandonats	əβənduˈnaʦ
abandonava	əβənduˈnaβə
abandonaven	əβənduˈnaβən
abandonem	əβənduˈnɛm
abandonen	əβənˈdonən
abandonés	əβənduˈnes
abandonessin	əβənduˈnesin
abandoni	əβənˈdoni
abandonin	əβənˈdonin
abandono	əβənˈdonu
abans	əˈβans
abans-d'ahir	əβanzðəˈi
abans_de	əˈβanzðə
abans_que	əˈβanskə
abarateix	əβəɾəˈtɛʃ
abarateixen	əβəɾəˈtɛʃən
abarateixi	əβəɾəˈtɛʃi
abarateixin	əβəɾəˈtɛʃin
abaratiment	əβəɾətiˈmen
abaratiments	əβəɾətiˈmens
abaratirà	əβəɾətiˈɾa
abaratir	əβəɾəˈti
abaratit	əβəɾəˈtit
abarrocament	əβərɔkəˈmen
abassegadora	əβəsəɣəˈðoɾə
abassegador	əβəsəɣəˈðo
abasta	əˈβastə
abast	əˈβast
abastable	əβəsˈtabblə
abastament	əβəstəˈmen
abastarà	əβəstəˈɾa
abastar	əβəsˈta
abasten	əˈβastən
abasti	əˈβasti
abastidor	əβəstiˈðo
abastiment	əβastiˈmen
abastir	əβəsˈti
abat	əˈβat
abatiment	əβətiˈmen
abatre	əˈβatɾə
abatre'l	əˈβatɾəl
