'em	əm
'n	ən
's	z
a	ˈeɪ
a	ə
aaa	ˌtɹɪpəˈleɪ
aaberg	ˈɑbəɹg
aachen	ˈɑkən
aaker	ˈɑkəɹ
aalseth	ˈɑlsɛθ
aamodt	ˈɑmət
aancor	ˈɑnˌkɔɹ
aardema	ɑɹˈdɛmə
aardvark	ˈɑɹdˌvɑɹk
aaron	ˈɛɹən
aarons	ˈɛɹənz
aaronson	ˈɛɹənsən
aaronson	ˈɑɹənsən
aarti	ˈɑɹˌtiː
aase	ˈɑs
aasen	ˈɑsən
ab	ˈæb
ab	ˈeɪbiː
ababa	əˈbɑbə
ababa	ˈɑbəbə
abacha	ˈæbəkə
aback	əˈbæk
abaco	ˈæbəˌkoʊ
abacus	ˈæbəkəs
abad	əˈbɑd
abadaka	əˈbædəkə
abadi	əˈbædiː
abadie	əˈbædiː
abair	əˈbɛɹ
abalkin	əˈbɑlkən
abalone	ˌæbəˈloʊniː
abalos	ɑˈbɑloʊz
abandon	əˈbændən
abandoned	əˈbændənd
abandoning	əˈbændənɪŋ
abandonment	əˈbændənmənt
abandonments	əˈbændənmənts
abandons	əˈbændənz
abanto	əˈbæntoʊ
abarca	əˈbɑɹkə
abare	ɑˈbɑɹiː
abascal	ˈæbəskəl
abash	əˈbæʃ
abashed	əˈbæʃt
abate	əˈbeɪt
abated	əˈbeɪtəd
abatement	əˈbeɪtmənt
abatements	əˈbeɪtmənts
abates	əˈbeɪts
abating	əˈbeɪtɪŋ
abba	ˈæbə
abbado	əˈbɑdoʊ
abbas	əˈbɑs
abbasi	ɑˈbɑsiː
abbate	ˈɑbeɪt
abbatiello	ɑbɑtiːˈɛloʊ
abbe	ˈæbiː
abbe	æˈbeɪ
abbenhaus	ˈæbənˌhaʊs
abbett	əˈbɛt
abbeville	ˈæbˌvɪl
abbey	ˈæbiː
abbie	ˈæbiː
abbitt	ˈæbət
abbot	ˈæbət
abbott	ˈæbət
abboud	əˈbuːd
abboud	əˈbaʊd
abbreviate	əˈbɹiːviːˌeɪt
abbreviated	əˈbɹiːviːˌeɪtəd
abbreviates	əˈbɹiːviːˌeɪts
abbreviating	əˈbɹiːviːˌeɪtɪŋ
abbreviation	əˌbɹiːviːˈeɪʃən
abbreviations	əˌbɹiːviːˈeɪʃənz
abbruzzese	ɑbɹuːtˈseɪziː
abbs	ˈæbz
abby	ˈæbiː
abco	ˈæbkoʊ
abcotek	ˈæbkoʊˌtɛk
abdalla	ˌæbˈdælə
abdallah	ˌæbˈdælə
abdel	ˈæbˌdɛl
abdella	ˌæbˈdɛlə
abdicate	ˈæbdəˌkeɪt
abdicated	ˈæbdəˌkeɪtəd
abdicates	ˈæbdəˌkeɪts
abdicating	ˈæbdɪˌkeɪtɪŋ
abdication	ˌæbdɪˈkeɪʃən
abdnor	ˈæbdnəɹ
abdo	ˈæbdoʊ
abdollah	ˌæbˈdɑlə
abdomen	æbˈdoʊmən
abdomen	ˈæbdəmən
abdominal	æbˈdɑmənəl
abdominal	əbˈdɑmənəl
abduct	æbˈdʌkt
abducted	æbˈdʌktəd
abducted	əbˈdʌktəd
abductee	æbˌdʌkˈtiː
abductees	æbˌdʌkˈtiːz
abducting	æbˈdʌktɪŋ
abducting	əbˈdʌktɪŋ
abduction	æbˈdʌkʃən
abduction	əbˈdʌkʃən
abductions	æbˈdʌkʃənz
abductions	əbˈdʌkʃənz
abductor	æbˈdʌktəɹ
abductor	əbˈdʌktəɹ
abductors	æbˈdʌktəɹz
