'em	əm
'n	ən
's	z
a	ə
a	ˈe
aaa	ˌtɹɪpəˈle
aaberg	ˈɑbɚg
aachen	ˈɑkn̩
aaker	ˈɑkɚ
aalseth	ˈɑɫsɛθ
aamodt	ˈɑmət
aancor	ˈɑnˌkɔ͡ɚ
aardema	ɑ͡ɚˈdɛmə
aardvark	ˈɑ͡ɚdˌvɑ͡ɚk
aaron	ˈɛɹn̩
aarons	ˈɛɹn̩z
aaronson	ˈɛɹn̩sn̩
aaronson	ˈɑɹn̩sn̩
aarti	ˈɑ͡ɚˌti
aase	ˈɑs
aasen	ˈɑsn̩
ab	ˈæb
ab	ˈebi
ababa	əˈbɑbə
ababa	ˈɑbəbə
abacha	ˈæbəkə
aback	əˈbæk
abaco	ˈæbəˌko
abacus	ˈæbəkəs
abad	əˈbɑd
abadaka	əˈbæɾəkə
abadi	əˈbæɾi
abadie	əˈbæɾi
abair	əˈbɛ͡ɚ
abalkin	əˈbɑɫkn̩
abalone	ˌæbəˈloni
abalos	ɑˈbɑloz
abandon	əˈbændn̩
abandoned	əˈbændn̩d
abandoning	əˈbændənɪŋ
abandonment	əˈbændn̩mn̩t
abandonments	əˈbændn̩mn̩ts
abandons	əˈbændn̩z
abanto	əˈbænto
abarca	əˈbɑ͡ɚkə
abare	ɑˈbɑɹi
abascal	ˈæbəskɫ̩
abash	əˈbæʃ
abashed	əˈbæʃt
abate	əˈbet
abated	əˈbeɾəd
abatement	əˈbetmn̩t
abatements	əˈbetmn̩ts
abates	əˈbets
abating	əˈbeɾɪŋ
abba	ˈæbə
abbado	əˈbɑɾo
abbas	əˈbɑs
abbasi	ɑˈbɑsi
abbate	ˈɑbet
abbatiello	ɑbɑtiˈɛlo
abbe	ˈæbi
abbe	æˈbe
abbenhaus	ˈæbn̩ˌha͡ʊs
abbett	əˈbɛt
abbeville	ˈæbˌvɪɫ
abbey	ˈæbi
abbie	ˈæbi
abbitt	ˈæbət
abbot	ˈæbət
abbott	ˈæbət
abboud	əˈbud
abboud	əˈba͡ʊd
abbreviate	əˈbɹiviˌet
abbreviated	əˈbɹiviˌeɾəd
abbreviates	əˈbɹiviˌets
abbreviating	əˈbɹiviˌeɾɪŋ
abbreviation	əˌbɹiviˈeʃn̩
abbreviations	əˌbɹiviˈeʃn̩z
abbruzzese	ɑbɹutˈsezi
abbs	ˈæbz
abby	ˈæbi
abco	ˈæbko
abcotek	ˈæbkoˌtɛk
abdalla	ˌæbˈdælə
abdallah	ˌæbˈdælə
abdel	ˈæbˌdɛɫ
abdella	ˌæbˈdɛlə
abdicate	ˈæbdəˌket
abdicated	ˈæbdəˌkeɾəd
abdicates	ˈæbdəˌkets
abdicating	ˈæbdɪˌkeɾɪŋ
abdication	ˌæbdɪˈkeʃn̩
abdnor	ˈæbdnɚ
abdo	ˈæbdo
abdollah	ˌæbˈdɑlə
abdomen	æbˈdomn̩
abdomen	ˈæbdəmn̩
abdominal	æbˈdɑmənɫ̩
abdominal	əbˈdɑmənɫ̩
abduct	æbˈdʌkt
abducted	æbˈdʌktəd
abducted	əbˈdʌktəd
abductee	æbˌdʌkˈti
abductees	æbˌdʌkˈtiz
abducting	æbˈdʌktɪŋ
abducting	əbˈdʌktɪŋ
abduction	æbˈdʌkʃn̩
abduction	əbˈdʌkʃn̩
abductions	æbˈdʌkʃn̩z
abductions	əbˈdʌkʃn̩z
abductor	æbˈdʌktɚ
abductor	əbˈdʌktɚ
abductors	æbˈdʌktɚz
abductors	əbˈdʌktɚz
