a	ˈa
a_baiuca	aβajˈuka
a_barrela	aβaˈrela
a_base_de	aˈβaseðe
a_base_de_bien	aˈβaseðeˈβjen
a_bocajarro	aβokaˈxaro
a_bombo_y_platillo	aˈβombojplaˈtiʎo
a_bordo	aˈβoɾðo
a_buen_recaudo	aˈβwenreˈkawðo
a_buen_seguro	aˈβwenseˈɣuɾo
a_buenas_horas	aˈβwenaˈsoɾas
a_cada_paso	aˈkaðaˈpaso
a_cada_rato	aˈkaðaˈrato
a_cal_y_canto	aˈkaliˈkanto
a_cambio	aˈkambjo
a_cambio_de	aˈkambjoðe
a_cambio_del	aˈkambjoðel
a_cañiza	akaˈɲiθa
a_cara_descubierta	aˈkaɾaðeskuˈβjeɾta
a_cargo_de	aˈkaɾɣoðe
a_causa_de	aˈkawsaðe
a_causa_del	aˈkawsaðel
a_centenares	aθenteˈnaɾes
a_cerca_de	aˈθeɾkaðe
a_chán	aˈʧan
a_chorros	aˈʧoros
a_ciencia_cierta	aˈθjenθjaˈθjeɾta
a_comienzos_de	akoˈmjenθozðe
a_condición_de_que	akondiˈθjondeke
a_consecuencia_de	akonseˈkwenθjaðe
a_continuación	akontinwaˈθjon
a_corazón_abierto	akoɾaˈθonaˈβjeɾto
a_corto_plazo	aˈkoɾtoˈplaθo
a_coruña	akoˈɾuɲa
a_cruz_de_incio	aˈkɾuθðeˈinθjo
a_cuenta_de	aˈkwentaðe
a_cuerpo_de_rey	aˈkweɾpoðeˈrej
a_destajo	aðesˈtaxo
a_destiempo	aðesˈtjempo
a_diario	aˈðjaɾjo
a_diferencia_de	aðifeˈɾenθjaðe
a_diferencia_del	aðifeˈɾenθjaðel
a_donde	ˈaðonde
a_dónde	aˈðonde
a_dos_manos	aˈðozˈmanos
a_dúo	aˈðuo
a_duras_penas	aˈðuɾasˈpenas
a_efectos_de	aeˈfektozðe
a_escondidas	aeskonˈdiðas
a_eso_de	aˈesoðe
a_espaldas_de	aesˈpaldazðe
a_espuertas	aesˈpweɾtas
a_estrada	aesˈtɾaða
a_excepción_de	aesθepˈθjonde
a_expensas_de	aesˈpensazðe
a_expensas_del	aesˈpensazðel
a_favor_de	afaˈβoɾðe
a_favor_del	afaˈβoɾðel
a_fin_de	aˈfinde
a_fin_de_cuentas	aˈfindeˈkwentas
a_fin_de_que	aˈfindeke
a_fines_de	aˈfinezðe
a_flor_de_piel	aˈfloɾðeˈpjel
a_flote	aˈflote
a_fonsagrada	afonsaˈɣɾaða
a_forxa	aˈfoɾsa
a_fuego_lento	aˈfweɣoˈlento
a_fuerza_de	aˈfweɾθaðe
a_golada	aɣoˈlaða
a_grandes_rasgos	aˈɣɾandezˈrazɣos
a_granel	aɣɾaˈnel
a_guardia	aˈɣwaɾðja
a_gudiña	aɣuˈðiɲa
a_juzgar_por	axuθˈɣaɾpoɾ
a_la_bartola	alaβaɾˈtola
a_la_espera_de	alaesˈpeɾaðe
a_la_inversa	alaimˈbeɾsa
a_la_manera_de	alamaˈneɾaðe
a_la_mitad_de	alamiˈtaððe
a_la_perfección	alapeɾfekˈθjon
a_la_primera_de_cambio	alapɾiˈmeɾaðeˈkambjo
a_la_sazón	alasaˈθon
a_la_sombra_de	alaˈsombɾaðe
a_la_usanza_de	alauˈsanθaðe
a_la_vez	alaˈβeθ
a_la_vez_que	alaˈβeθke
a_la_vuelta_de	alaˈβweltaðe
a_lama	aˈlama
a_lápiz	aˈlapiθ
a_las_primeras_de_cambio	alaspɾiˈmeɾazðeˈkambjo
a_leguas	aˈleɣwas
a_limia	aˈlimja
a_lo_ancho_de	aloˈanʧoðe
a_lo_bestia	aloˈβestja
a_lo_grande	aloˈɣɾande
a_lo_largo_de	aloˈlaɾɣoðe
a_lo_largo_del	aloˈlaɾɣoðel
a_lo_largo_y_ancho_de	aloˈlaɾɣoˈʤanʧoðe
a_lo_largo_y_ancho_del	aloˈlaɾɣoˈʤanʧoðel
a_lo_lejos	aloˈlexos
a_lo_loco	aloˈloko
a_lo_más	aloˈmas
a_lo_mejor	alomeˈxoɾ
a_lo_que_parece	alokepaˈɾeθe
a_lo_sumo	aloˈsumo
a_lomos	aˈlomos
a_los_cuatro_vientos	alosˈkwatɾoˈβjentos
a_mano_armada	aˈmanoaɾˈmaða
a_manos_llenas	aˈmanozˈʎenas
a_mansalva	amanˈsalβa
a_más_no_poder	aˈmazˈnopoˈðeɾ
a_más_tardar	aˈmastaɾˈðaɾ
a_media_voz	aˈmeðjaˈβoθ
a_mediados_de	ameˈðjaðozðe
a_mediados_del	ameˈðjaðozðel
a_medida_que	ameˈðiðake
a_medio_plazo	ameðjoˈplaθo
a_mediodía	ameðjoˈðia
a_menos_que	ˈamenoske
a_merca	aˈmeɾka
a_mezquita	ameθˈkita
a_mitad_de	amiˈtaðe
a_modo_de	aˈmoðoðe
a_mucha_honra	aˈmuʧaˈonra
a_muerte	aˈmweɾte
a_nado	aˈnaðo
a_nivel	aniˈβel
a_no_ser_que	aˈnoˈseɾke
a_nombre_de	aˈnombɾeðe
a_partir_de	apaɾˈtiɾðe
a_partir_del	apaɾˈtiɾðel
a_paseo	apaˈseo
a_peroxa	apeˈɾosa
a_pesar_de	apeˈsaɾðe
a_pesar_de_que	apeˈsaɾðeke
a_pesar_de_todo	apeˈsaɾðeˈtoðo
a_pesar_del	apeˈsaɾðel
a_picota	apiˈkota
a_plazo_fijo	aˈplaθoˈfixo
a_plazos	aˈplaθos
a_poco_que	aˈpokoke
a_pocos_pasos	aˈpokosˈpasos
a_pontenova	aponteˈnoβa
a_posteriori	aposteˈɾjoɾi
a_principios_de	apɾinˈθipjozðe
a_principios_del	apɾinˈθipjozðel
a_priori	aˈpɾjoɾi
a_prisa	aˈpɾisa
a_propósito_de	apɾoˈpositoðe
a_prueba_de	aˈpɾweβaðe
a_puerta_cerrada	aˈpweɾtaθeˈraða
a_punta_de_pistola	aˈpuntaðepisˈtola
a_punto_de	aˈpuntoðe
a_que	ˈake
a_rachas	aˈraʧas
a_raíz_de	araˈiθðe
a_raíz_del	araˈiθðel
a_rajatabla	araxaˈtaβla
a_ramallosa	aramaˈʎosa
a_ras_de	aˈrazðe
a_raudales	arawˈðales
a_razón_de	araˈθonde
a_regañadientes	areɣaɲaˈðjentes
a_renglón_seguido	areŋˈɡlonseˈɣiðo
a_riesgo_de	aˈrjezɣoðe
a_rúa	aˈrua
a_sabiendas	asaˈβjendas
a_sangre_fría	aˈsaŋɡɾeˈfɾia
a_sangre_y_fuego	aˈsaŋɡɾejˈfweɣo
a_solas	aˈsolas
a_su_imagen_y_semejanza	aswiˈmaxenisemeˈxanθa
a_sus_anchas	asuˈsanʧas
