#name German-Hoch
#lang deu-hoch
A	ʔaː
Aachen	ʔaːxən
Aal	ʔaːl
Aale	ʔaːlə
aale	ʔaːlə
Aalen	ʔaːlən
aalen	ʔaːlən
aalend	ʔaːlənt
Aales	ʔaːləs
aalest	ʔaːləst
aalet	ʔaːlət
Aals	ʔaːls
Aalst	ʔaːlst
aalst	ʔaːlst
aalt	ʔaːlt
aalte	ʔaːltə
aalten	ʔaːltən
aaltest	ʔaːltəst
aaltet	ʔaːltət
Aar	ʔaːɐ
Aarau	ʔaːʁaʊ
Aare	ʔaːʁə
Aaren	ʔaːʁən
Aares	ʔaːʁəs
Aargau	ʔaːɐɡaʊ
Aars	ʔaːɐs
Aas	ʔaːs
Aase	ʔaːzə
Aasen	ʔaːzən
Aases	ʔaːzəs
ab	ʔap
Abacus	ʔaːbakʊs
Abaka	ʔaˈbaːkaː
Abakan	ʔabaˈkaːn
Abakus	ʔaːbakʊs
Abandon	ʔabanˈdɔ̃ː
abandonniere	ʔabandɔ̃ːˈniːʁə
abandonnieren	ʔabandɔ̃ːˈniːʁən
abandonnierend	ʔabandɔ̃ːˈniːʁənt
abandonnierest	ʔabandɔ̃ːˈniːʁəst
abandonnieret	ʔabandɔ̃ːˈniːʁət
abandonnierst	ʔabandɔ̃ːˈniːɐst
abandonniert	ʔabandɔ̃ːˈniːɐt
abandonnierte	ʔabandɔ̃ːˈniːɐtə
abandonnierten	ʔabandɔ̃ːˈniːɐtən
abandonniertest	ʔabandɔ̃ːˈniːɐtəst
abandonniertet	ʔabandɔ̃ːˈniːɐtət
Abandons	ʔabanˈdɔ̃ːs
abarte	ʔapʔaːɐtə
Abarten	ʔapʔaːɐtən
abarten	ʔapʔaːɐtən
abartend	ʔapʔaːɐtənt
abartest	ʔapʔaːɐtəst
abartet	ʔapʔaːɐtət
abartete	ʔapʔaːɐtətə
abarteten	ʔapʔaːɐtətən
abartetest	ʔapʔaːɐtətəst
abartetet	ʔapʔaːɐtətət
abartig	ʔapʔaːɐtɪç
abartige	ʔapʔaːɐtɪɡə
abartigem	ʔapʔaːɐtɪɡəm
abartigen	ʔapʔaːɐtɪɡən
abartiger	ʔapʔaːɐtɪɡɐ
abartiges	ʔapʔaːɐtɪɡəs
abartigste	ʔapʔaːɐtɪçstə
abartigstem	ʔapʔaːɐtɪçstəm
abartigsten	ʔapʔaːɐtɪçstən
abartigster	ʔapʔaːɐtɪçstɐ
abartigstes	ʔapʔaːɐtɪçstəs
Abartung	ʔapʔaːɐtʊŋ
Abartungen	ʔapʔaːɐtʊŋən
Abasie	ʔabaˈziː
Abasien	ʔabaˈziːən
abatisch	ʔaˈbatɪʃ
Abaziskus	ʔabaˈʦɪskʊs
Abazissus	ʔabaˈʦɪsʊs
Abbadona	ʔabaˈdoːnaː
Abbas	ʔaˈbaːs
Abbaside	ʔabaˈziːdə
Abbasiden	ʔabaˈziːdən
abbassamento	ʔabasaˈmɛntɔ
Abbate	ʔaˈbaːtə
Abbaten	ʔaˈbaːtən
Abbé	ʔaˈbeː
abbekomme	ʔapbəˌkɔmə
abbekommen	ʔapbəˌkɔmən
abbekommend	ʔapbəˌkɔmənt
abbekommest	ʔapbəˌkɔməst
abbekommet	ʔapbəˌkɔmət
abbekommst	ʔapbəˌkɔmst
abbekommt	ʔapbəˌkɔmt
abbestelle	ʔapbəˌʃtɛlə
abbestellen	ʔapbəˌʃtɛlən
abbestellend	ʔapbəˌʃtɛlənt
abbestellest	ʔapbəˌʃtɛləst
abbestellet	ʔapbəˌʃtɛlət
abbestellst	ʔapbəˌʃtɛlst
abbestellt	ʔapbəˌʃtɛlt
abbestellte	ʔapbəˌʃtɛltə
abbestellten	ʔapbəˌʃtɛltən
abbestelltest	ʔapbəˌʃtɛltəst
abbestelltet	ʔapbəˌʃtɛltət
Abbestellung	ʔapbəˌʃtɛlʊŋ
Abbestellungen	ʔapbəˌʃtɛlʊŋən
abbezahle	ʔapbəˌʦaːlə
abbezahlen	ʔapbəˌʦaːlən
abbezahlend	ʔapbəˌʦaːlənt
abbezahlest	ʔapbəˌʦaːləst
abbezahlet	ʔapbəˌʦaːlət
abbezahlst	ʔapbəˌʦaːlst
