#name Islandic
#lang lsl
abbadísin	apatiːsɪn
abbast	apast
Aco-Tæknival	aːkou taihknɪval
Adam	aːtam
Adams	aːtams
Adda	ata
Addi	atɪ
Adolfsson	aːtɔlfsɔːn
Adolfsson	aːtoulfsɔːn
adrenalín	aːtrɛnaliːn
ADSL	a tjɛː ɛs ɛtl̥
að	aːð
aðal	aːðal
aðalatriði	aːðalatrɪðɪ
aðalatriðið	aːðalatrɪðɪð
aðalatriðum	aːðalatrɪðʏm
aðalástæðan	aːðalaustaiðan
Aðalbjörg	aːðalpjœrk
aðalbyggingu	aːðalpɪciŋkʏ
aðalbyggingunni	aːðalpɪciŋkʏnɪ
Aðaldal	aːðaltaːl
Aðaldal	aːðaltal
aðaldyrunum	aːðaltɪːrɔnʏm
aðaleigandi	aːðaleiːɣantɪ
aðaleinkunn	aːðaleiŋ̊kʏn
aðaleinkunn	aːðaleiŋkʏn
aðalframkvæmdastjóri	aːðalframkvaimtastjouːrɪ
aðalfund	aːðalfʏnt
aðalfundar	aːðalfʏntar
aðalfundarstörf	aːðalfʏntarstœrv
aðalfundi	aːðalfʏntɪ
aðalfundinum	aːðalfʏntɪnʏm
aðalfundur	aːðalfʏntʏr
aðalfundurinn	aːðalfʏntʏrɪn
Aðalgötu	aːðalkœːtʏ
aðalgötuna	aːðalkœːtʏna
aðalgötunni	aːðalkœːtʏnɪ
Aðalheiðar	aːðalheiːðar
Aðalheiði	aːðalheiːðɪ
Aðalheiður	aːðalheiːðʏr
aðalhlutverk	aːðal̥ʏtvɛr̥k
aðalhlutverki	aːðal̥ʏtvɛr̥cɪ
aðalhlutverkið	aːðal̥ʏtvɛr̥cɪð
aðalhlutverkin	aːðal̥ʏtvɛr̥cɪn
aðalhlutverkinu	aːðal̥ʏtvɛr̥cɪnʏ
aðalhlutverkum	aːðal̥ʏtvɛr̥kʏm
aðalinnganginum	aːðalɪŋkauŋcɪnʏm
aðaljárnbrautarstöðinni	aːðaljautnprœytarstœːðɪnɪ
aðalkvöldfréttatími	aːðalkvœltfrjɛhtatiːmɪ
aðallega	aːðalɛɣa
aðalleikendur	aːðaleiːkɛntʏr
aðallista	aːðalɪsta
aðalmálið	aːðalmauːlɪð
aðalnámskrá	aːðalnaumskrau
aðalnámskránni	aːðalnaumskraunɪ
aðalorkan	aːðalɔr̥kan
aðalpersóna	aːðalpɛr̥souna
aðalpersónan	aːðalpɛr̥sounan
aðalpósthúsinu	aːðalpousthusɪnʏ
aðalrétturinn	aːðalrjɛhtʏrɪn
aðalritstjóra	aːðalrɪːtstjoura
aðalritstjórann	aːðalrɪːtstjouran
aðalritstjórans	aːðalrɪːtstjourans
aðalritstjórinn	aːðalrɪːtstjourɪn
aðalritstjórinn	aːðalrɪtstjourɪn
aðalræðismaður	aːðalraiːðɪsmaːðʏr
aðalsafn	aːðalsapn̥
aðalsafnaðarfundur	aːðalsapnaðarfʏntʏr
aðalsal	aːðalsaːl
aðalsalnum	aːðalsalnʏm
aðalskipulag	aːðalscɪpʏlaɣ
aðalskipulagi	aːðalscɪːpʏlaːjɪ
aðalskipulagi	aːðalscɪːpʏlaiːjɪ
aðalskipulaginu	aːðalscɪːpʏlaːjɪnʏ
aðalskipulaginu	aːðalscɪːpʏlaiːjɪnʏ
aðalskipulags	aːðalscɪpʏlaxs
aðalsmaður	aːðalsmaːðʏr
aðalsmerki	aːðalsmɛr̥cɪ
aðalstarf	aːðalstarv
aðalstarfi	aːðalstarvɪ
Aðalstein	aːðalsteiːn
Aðalsteini	aːðalsteiːnɪ
Aðalsteinn	aːðalsteitn̥
Aðalsteins	aːðalsteins
Aðalsteinsdóttir	aːðalsteinstouhtɪr
Aðalsteinsdóttur	aːðalsteinstouhtʏr
Aðalsteinsson	aːðalsteinsɔːn
Aðalsteinssonar	aːðalsteinsɔːnar
Aðalsteinssyni	aːðalsteinsɪːnɪ
aðalstjórn	aːðalstjourtn̥
Aðalstræti	aːðalstraiːtɪ
Aðalstrætis	aːðalstraiːtɪs
aðalstöðvar	aːðalstœðvar
aðalstöðvum	aːðalstœðvʏm
