abá	aˈba
abajá	abaˈxa
abajás	abaˈxas
abajés	abaˈxes
abalancés	abalanˈses
abalanzá	abalanˈsa
abalanzás	abalanˈsas
abalaustrá	abalawsˈt̪ɾa
abalaustrás	abalawsˈt̪ɾas
abalaustrés	abalawsˈt̪ɾes
abaleá	abaleˈa
abaleás	abaleˈas
abaleés	abaleˈes
abalicés	abaliˈses
abalizá	abaliˈsa
abalizás	abaliˈsas
aballá	abaˈʝa
aballás	abaˈʝas
aballés	abaˈʝes
aballestá	abaʝesˈt̪a
aballestás	abaʝesˈt̪as
aballestés	abaʝesˈt̪es
abaluartá	abalwaɾˈt̪a
abaluartás	abalwaɾˈt̪as
abaluartés	abalwaɾˈt̪es
abaná	abaˈna
abañá	abaˈɲa
abanás	abaˈnas
abañás	abaˈɲas
abandalicés	aband̪aliˈses
abandalizá	aband̪aliˈsa
abandalizás	aband̪aliˈsas
abanderá	aband̪eˈɾa
abanderás	aband̪eˈɾas
abanderés	aband̪eˈɾes
abandericés	aband̪eɾiˈses
abanderizá	aband̪eɾiˈsa
abanderizás	aband̪eɾiˈsas
abandoná	aband̪oˈna
abandonás	aband̪oˈnas
abandonés	aband̪oˈnes
abanés	abaˈnes
abañés	abaˈɲes
abanicá	abaniˈka
abanicás	abaniˈkas
abaniqués	abaniˈkes
abaratá	abaɾaˈt̪a
abaratás	abaɾaˈt̪as
abaratés	abaɾaˈt̪es
abarbechá	abaɾbeˈʧa
abarbechás	abaɾbeˈʧas
abarbechés	abaɾbeˈʧes
abarbetá	abaɾbeˈt̪a
abarbetás	abaɾbeˈt̪as
abarbetés	abaɾbeˈt̪es
abarcá	abaɾˈka
abarcás	abaɾˈkas
abarloá	abaɾloˈa
abarloás	abaɾloˈas
abarloés	abaɾloˈes
abarqués	abaɾˈkes
abarquillá	abaɾkiˈʝa
abarquillás	abaɾkiˈʝas
abarquillés	abaɾkiˈʝes
abarracá	abaraˈka
abarracás	abaraˈkas
abarraganá	abaragaˈna
abarraganás	abaragaˈnas
abarraganés	abaragaˈnes
abarrajá	abaraˈxa
abarrajás	abaraˈxas
abarrajés	abaraˈxes
abarrancá	abaranˈka
abarrancás	abaranˈkas
abarranqués	abaranˈkes
abarraqués	abaraˈkes
abarrotá	abaroˈt̪a
abarrotás	abaroˈt̪as
abarrotés	abaroˈt̪es
abás	aˈbas
abastá	abasˈt̪a
abastás	abasˈt̪as
abastecé	abast̪eˈse
abastecés	abast̪eˈses
abastés	abasˈt̪es
abastezcás	abast̪esˈkas
abastioná	abast̪joˈna
abastionás	abast̪joˈnas
abastionés	abast̪joˈnes
abataná	abat̪aˈna
abatanás	abat̪aˈnas
abatanés	abat̪aˈnes
abatás	abaˈt̪as
abatatá	abat̪aˈt̪a
abatatás	abat̪aˈt̪as
abatatés	abat̪aˈt̪es
abatí	abaˈt̪i
abatís	abaˈt̪is
abatojá	abat̪oˈxa
abatojás	abat̪oˈxas
abatojés	abat̪oˈxes
abdicá	abd̪iˈka
abdicás	abd̪iˈkas
abdiqués	abd̪iˈkes
abellacá	abeʝaˈka
abellacás	abeʝaˈkas
abellaqués	abeʝaˈkes
