#name Spanish
#lang spa
abad	aˈβað
abadía	aβaˈðia
abajo	aˈβaxo
abalanzaron	aβalanˈθaɾon
abalanzó	aβalanˈθo
abandera	aβanˈdeɾa
abanderada	aβandeˈɾaða
abanderado	aβandeˈɾaðo
abanderados	aβandeˈɾaðos
abanderamiento	aβandeɾaˈmjento
abandona	aβanˈdona
abandonaba	aβandoˈnaβa
abandonaban	aβandoˈnaβan
abandonada	aβandoˈnaða
abandonadas	aβandoˈnaðas
abandonado	aβandoˈnaðo
abandonados	aβandoˈnaðos
abandonamos	aβandoˈnamos
abandonan	aβanˈdonan
abandonando	aβandoˈnando
abandonar	aβandoˈnaɾ
abandonara	aβandoˈnaɾa
abandonará	aβandonaˈɾa
abandonaran	aβandoˈnaɾan
abandonarán	aβandonaˈɾan
abandonaría	aβandonaˈɾia
abandonarlo	aβandoˈnaɾlo
abandonaron	aβandoˈnaɾon
abandonarse	aβandoˈnaɾse
abandonase	aβandoˈnase
abandone	aβanˈdone
abandoné	aβandoˈne
abandonen	aβanˈdonen
abandones	aβanˈdones
abandono	aβanˈdono
abandonó	aβandoˈno
abandonos	aβanˈdonos
abanico	aβaˈniko
abanicos	aβaˈnikos
abarata	aβaˈɾata
abaratado	aβaɾaˈtaðo
abaratamiento	aβaɾataˈmjento
abaratando	aβaɾaˈtando
abaratar	aβaɾaˈtaɾ
abarca	aˈβaɾka
abarcaba	aβaɾˈkaβa
abarcan	aˈβaɾkan
abarcar	aβaɾˈkaɾ
abarcará	aβaɾkaˈɾa
abarquen	aˈβaɾken
abarrota	aβaˈrota
abarrotaba	aβaroˈtaβa
abarrotaban	aβaroˈtaβan
abarrotada	aβaroˈtaða
abarrotadas	aβaroˈtaðas
abarrotado	aβaroˈtaðo
abarrotados	aβaroˈtaðos
abarrotan	aβaˈrotan
abarrotaron	aβaroˈtaɾon
abarrotó	aβaroˈto
a_base_de	aˈβaseðe
a_base_de_bien	aˈβaseðeˈβjen
abastece	aβasˈteθe
abastecedor	aβasteθeˈðoɾ
abastecer	aβasteˈθeɾ
abastecerás	aβasteθeˈɾas
abasteceré	aβasteθeˈɾe
abastecerse	aβasteˈθeɾse
abastecimiento	aβasteθiˈmjento
abasto	aˈβasto
abate	aˈβate
abatibles	aβaˈtiβles
abatida	aβaˈtiða
abatido	aβaˈtiðo
abatidos	aβaˈtiðos
abatieron	aβaˈtjeɾon
abatimiento	aβatiˈmjento
abatió	aβaˈtjo
abatir	aβaˈtiɾ
abdica	aβˈðika
abdicación	aβðikaˈθjon
abdicando	aβðiˈkando
abdicar	aβðiˈkaɾ
abdique	aβˈðike
abdomen	aβˈðomen
abdominal	aβðomiˈnal
abdominales	aβðomiˈnales
abductor	aβðukˈtoɾ
abductores	aβðukˈtoɾes
abecedario	aβeθeˈðaɾjo
abedul	aβeˈðul
abeja	aˈβexa
abejas	aˈβexas
aberchales	aβeɾˈʧales
aberración	aβeraˈθjon
aberraciones	aβeraˈθjones
aberrante	aβeˈrante
aberrantes	aβeˈrantes
aberturas	aβeɾˈtuɾas
abertzale	aβeɾˈʧale
abertzales	aβeɾˈʧales
abeto	aˈβeto
abierta	aˈβjeɾta
abiertamente	aˈβjeɾtaˈmente
abiertas	aˈβjeɾtas
abierto	aˈβjeɾto
abiertos	aˈβjeɾtos
abigarrada	aβiɣaˈraða
abigarrado	aβiɣaˈraðo
abismal	aβizˈmal
abismales	aβizˈmales
abismo	aˈβizmo
abismos	aˈβizmos
ablación	aβlaˈθjon
ablaciones	aβlaˈθjones
ablandar	aβlanˈdaɾ
abocada	aβoˈkaða
abocado	aβoˈkaðo
abocados	aβoˈkaðos
a_bocajarro	aβokaˈxaro
abofeteado	aβofeteˈaðo
aboga	aˈβoɣa
abogaba	aβoˈɣaβa
abogacía	aβoɣaˈθia
abogada	aβoˈɣaða
abogado	aβoˈɣaðo
abogados	aβoˈɣaðos
abogan	aˈβoɣan
abogar	aβoˈɣaɾ
abogaron	aβoˈɣaɾon
abogo	aˈβoɣo
abogó	aβoˈɣo
abolengo	aβoˈleŋɡo
abolición	aβoliˈθjon
abolida	aβoˈliða
abolido	aβoˈliðo
abolir	aβoˈliɾ
a_bombo_y_platillo	aˈβombojplaˈtiʎo
abominable	aβomiˈnaβle
abominables	aβomiˈnaβles
abominación	aβominaˈθjon
abomino	aβoˈmino
abona	aˈβona
abonada	aβoˈnaða
abonadas	aβoˈnaðas
abonado	aβoˈnaðo
abonados	aβoˈnaðos
abonamiento	aβonaˈmjento
abonan	aˈβonan
abonar	aβoˈnaɾ
abonará	aβonaˈɾa
abonarán	aβonaˈɾan
abonarlas	aβoˈnaɾlas
abonaron	aβoˈnaɾon
abonarse	aβoˈnaɾse
abone	aˈβone
abono	aˈβono
abonó	aβoˈno
abonos	aˈβonos
aborda	aˈβoɾða
abordaba	aβoɾˈðaβa
abordada	aβoɾˈðaða
abordado	aβoɾˈðaðo
abordados	aβoɾˈðaðos
abordaje	aβoɾˈðaxe
abordan	aˈβoɾðan
abordar	aβoɾˈðaɾ
abordará	aβoɾðaˈɾa
abordarán	aβoɾðaˈɾan
abordaremos	aβoɾðaˈɾemos
abordaron	aβoɾˈðaɾon
abordarse	aβoɾˈðaɾse
aborde	aˈβoɾðe
aborden	aˈβoɾðen
abordo	aˈβoɾðo
a_bordo	aˈβoɾðo
abordó	aβoɾˈðo
aborigen	aβoˈɾixen
aborígenes	aβoˈɾixenes
aborrece	aβoˈreθe
aborrecen	aβoˈreθen
aborregados	aβoreˈɣaðos
aborregar	aβoreˈɣaɾ
aborrezco	aβoˈreθko
abortada	aβoɾˈtaða
abortado	aβoɾˈtaðo
abortan	aˈβoɾtan
abortar	aβoɾˈtaɾ
abortista	aβoɾˈtista
abortistas	aβoɾˈtistas
abortiva	aβoɾˈtiβa
abortivas	aβoɾˈtiβas
abortivo	aβoɾˈtiβo
aborto	aˈβoɾto
abortó	aβoɾˈto
abortos	aˈβoɾtos
abra	ˈaβɾa
abramos	aˈβɾamos
abran	ˈaβɾan
abraza	aˈβɾaθa
abrazado	aβɾaˈθaðo
abrazan	aˈβɾaθan
